heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;11;50words;1.0;[1.0726, 0.99568, 0.87865, 1.1037, 0.78214, 0.39387, 1.5787, 0.33847, 0.82483, 1.6588, 0.82483];19,811954;526;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;11;50words;1.0;[-0.16808, 0.42319, 0.65994, 1.0726, 0.78214, 1.2386, 1.2386, 0.33847, 1.0293, 1.8066, 1.2135];19,684244;604;565;113,3333333;25,0923%;19,93136333;26,6086%
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;11;50words;1.0;[0.42319, 0.87865, 1.1037, 0.87865, 0.50658, 0.33847, 0.60983, 0.33847, 1.0293, 0.82483, 1.733];18,312334;7922;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;11;50words;1.0;[0.99568, 1.1037, 0.89246, 0.87865, 0.60983, 0.18637, 0.60983, 0.60983, 0.82483, 1.6588, 1.2135];18,161144;7606;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;11;50words;1.0;[0.99568, 0.89246, 0.99568, 0.42319, 0.18637, 0.65608, 0.33847, 0.39387, 0.82483, 1.2135, 1.2135];18,408654;7065;7531;7079,333333;1567,3801%;18,294044;16,2080%
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;11;50words;1.0;[0.42319, -0.40999, 0.78214, 0.99568, 0.42319, 0.65608, 0.60983, 1.4852, 0.33847, 1.0293, 1.8066];19,429194;132;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;11;50words;1.0;[-0.40999, 0.42319, 1.1037, 0.65994, 0.78214, 0.39387, 0.50658, 1.0293, 1.3741, 0.33847, -0.16563];20,786954;132;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;11;50words;1.0;[0.78214, 0.78214, 0.42319, 1.1037, 0.99568, 0.60983, 1.0293, 0.18637, 0.60983, 0.50658, 1.8066];19,793544;141;135;-316,6666667;-70,1107%;20,00323067;27,0651%
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;11;50words;1.0;[1.0726, 0.99568, 0.87865, 1.1037, 1.2245, 0.65608, 0.39387, 1.5787, 0.82483, 0.60983, 1.2135];18,944504;1328;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;11;50words;1.0;[0.99568, 0.78214, 0.87865, 1.1037, 0.99568, -0.0096985, 0.60983, 0.33847, 0.82483, 1.3741, 1.8066];19,2946;1328;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;11;50words;1.0;[0.99568, 0.65994, 0.87865, 1.0726, 1.1037, 0.60983, 0.18637, 0.65608, 0.18637, 0.65608, 1.2135];18,656084;1325;1327;875,3333333;193,8007%;18,96506267;20,4704%
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;11;50words;1.0;[0.42319, 0.89246, -0.16808, 0.89246, 1.0726, 0.33847, 0.33847, 0.65608, 1.6588, 1.6588, 1.2135];19,418454;13883;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;11;50words;1.0;[0.65994, 0.78214, -0.30327, 0.87865, 1.2386, 0.1629, 0.50658, 0.50658, 0.60983, 1.5787, 1.2135];19,161414;13879;;;;;
