heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;28;50words;1.0;[-0.64944, -0.77979, -0.68914, -0.72084, -0.77102, -0.75111, -0.80158, -0.80158, -0.73203, -0.73203, -0.72014, -0.71632, -0.70847, -0.84361, -0.85335, -0.85335, -0.70519, -0.8547, -0.8551, -0.8551, -0.851, -0.85318, -0.83971, -0.70194, -0.69913, -0.69913, -0.69488, -0.69138];29,95862;10457;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.68914, -0.75907, -0.75907, -0.7386, -0.74477, -0.81462, -0.73203, -0.82926, -0.83723, -0.70847, -0.84646, -0.70663, -0.70598, -0.13208, -0.70519, -0.12992, -0.70349, -0.851, -0.70269, -0.84543, -0.70244, -0.83013, -0.70193, -0.69488, -0.69488];30,34781;11232;11582,66667;-87967,66667;-88,37%;30,09433;6,54%;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;28;50words;1.0;[-0.60734, -0.64944, -0.64944, -0.75111, -0.75111, -0.75111, -0.74477, -0.78907, -0.74477, -0.72014, -0.72476, -0.82926, -0.84646, -0.84646, -0.70847, -0.70598, -0.70598, -0.85325, -0.70283, -0.70349, -0.85653, -0.83971, -0.70194, -0.70244, -0.82232, -0.69913, -0.69488, -0.69138];29,35501;153;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;28;50words;1.0;[-0.68914, -0.78713, -0.77979, -0.77102, -0.75111, -0.76646, -0.73203, -0.73203, -0.74477, -0.71632, -0.82374, -0.72476, -0.85046, -0.84646, -0.85046, -0.13208, -0.70519, -0.85325, -0.11122, -0.85653, -0.70375, -0.70194, -0.84543, -0.70269, -0.69488, -0.69913, -0.69913, -0.81317];31,03751;131;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;28;50words;1.0;[-0.77979, -0.64944, -0.68914, -0.72084, -0.72084, -0.77102, -0.73203, -0.74477, -0.81462, -0.71632, -0.71632, -0.82374, -0.02234, -0.70847, -0.71263, -0.70339, -0.70339, -0.70339, -0.70349, -0.8551, -0.70283, -0.70269, -0.70194, -0.70269, -0.69488, -0.69913, -0.83603, -0.81317];29,83871;135;139,6666667;-99410,66667;-99,86%;30,07707667;6,47%;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;28;50words;1.0;[-0.60734, -0.77979, -0.64944, -0.75111, -0.75907, -0.76646, -0.78907, -0.7386, -0.81462, -0.82374, 0.065865, -0.72014, -0.71263, -0.84646, -0.84361, -0.092021, -0.85335, -0.70339, -0.70375, -0.8551, -0.073169, -0.70244, -0.84543, -0.70269, -0.69488, -0.69913, -0.70193, -0.69138];31,470564;1271;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;28;50words;1.0;[-0.60734, -0.68914, -0.77979, -0.72084, -0.72084, -0.72084, -0.81462, -0.73203, -0.74477, -0.82926, -0.82374, -0.82926, -0.71263, -0.85046, -0.85046, -0.8547, -0.8547, -0.70598, -0.85653, -0.70375, -0.12992, -0.70244, -0.70269, -0.84543, -0.69913, -0.69488, -0.83603, -0.69138];30,57884;1109;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;28;50words;1.0;[-0.77979, -0.64944, -0.68914, -0.72084, -0.75111, -0.72084, -0.80158, -0.7386, -0.74477, -0.71632, -0.82926, -0.72476, -0.84646, -0.71263, -0.84361, -0.70519, -0.13208, -0.85335, -0.85653, -0.70349, -0.70349, -0.70244, -0.70269, -0.70194, -0.70193, -0.69488, -0.69488, -0.81317];29,962069;1220;1200;-98350,33333;-98,79%;30,670491;8,58%;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;28;50words;1.0;[-0.64944, -0.77979, -0.60734, -0.72084, -0.75907, -0.74642, -0.7386, -0.7386, -0.80158, -0.72014, -0.71632, -0.82926, -0.70663, -0.71263, -0.85046, -0.8547, -0.85325, -0.70519, -0.70283, -0.8551, -0.70349, -0.851, -0.70269, -0.70194, -0.69913, -0.69913, -0.69913, -0.81317];29,602289;14399;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;28;50words;1.0;[-0.77979, -0.60734, -0.64944, -0.74642, -0.75907, -0.77102, -0.74477, -0.73203, -0.80158, -0.71632, -0.82926, -0.72014, -0.70663, -0.84646, -0.70847, -0.70519, -0.70598, -0.13208, -0.85653, -0.70375, -0.85653, -0.70244, -0.70194, -0.70269, -0.70193, -0.69488, -0.69488, -0.81317];29,916649;14457;;;;;;
