heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;4;10;50words;1.0;[1.2539, 1.1168, 0.019398, 0.84133, 1.0607, 0.42341, 1.0607, 0.28756, 0.030907, 0.9651];31,298213;11046;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;4;10;50words;1.0;[0.019398, -0.8279, 0.84133, 0.019398, 0.1994, 0.29639, 0.28756, 1.0607, 0.45166, -0.82803];32,756215;10007;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;4;10;50words;1.0;[1.798, 0.84133, 1.2539, 0.97972, 0.5619, 1.1688, 0.42341, 0.42825, -0.8297, 0.87969];33,812207;7379;9477,333333;32,62221167;0,171271374;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;4;10;50words;1.0;[0.10223, 0.97972, 0.97972, 0.019398, 0.1994, 0.15633, 0.29639, -0.83089, 0.44917, 0.15633];30,694151;94;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;4;10;50words;1.0;[-0.82984, 0.84133, 0.97972, 0.10223, 0.1994, 0.42341, -0.83094, -0.8297, 0.9651, 0.87969];35,286653;94;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;4;10;50words;1.0;[-0.82896, 0.70163, 0.019398, 0.97972, 0.97972, -0.83089, 1.2867, 0.15633, -0.82803, -0.82803];37,963897;89;92,33333333;34,64823367;0,244013885;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;4;10;50words;1.0;[0.70163, 0.70163, 0.10223, 0.019398, 1.2539, 0.45166, 0.42341, 1.0607, -0.83089, 0.030907];32,363891;917;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;4;10;50words;1.0;[0.019398, 0.019398, 0.1994, 0.1994, -0.82984, -0.83089, 0.29639, 0.9651, 0.15633, 0.29639];32,769727;918;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;4;10;50words;1.0;[0.1994, 1.1168, 0.70163, -0.83086, 0.019398, 0.42825, 1.1688, 1.0607, 1.1688, -0.8297];36,400825;891;908,6666667;33,84481433;0,215167831;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;4;10;50words;1.0;[0.1994, 1.5418, 0.019398, 0.1994, 1.1168, -0.83089, 0.45166, 0.28756, 1.1688, 0.45166];33,690027;9105;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;4;10;50words;1.0;[1.798, 1.1168, 0.97972, -0.8279, 0.70163, 0.42341, 0.44917, -0.82803, -0.82803, -0.83057];35,784021;9231;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;4;10;50words;1.0;[-0.8279, 1.1168, 0.10223, 0.1994, 0.70163, 0.5619, -0.8297, 0.37582, 0.44917, -0.82803];33,499447;9246;9194;34,32449833;0,232390457;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;4;10;50words;1.0;[1.1168, 0.84133, 0.70163, 0.5619, 0.42341, 0.42825, 0.15633, 0.44917];28,74422;33;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;4;10;50words;1.0;[-0.038255, 0.019398, 0.84133, 0.1994, 0.29639, 0.42825, 0.15633, 0.030907];29,274472;24;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;4;10;50words;1.0;[1.2539, -0.038255, 0.84133, 0.1994, 0.29639, 0.37582, 0.42825, 0.45166, 0.44917];28,320408;24;27;28,7797;0,033309425;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;4;10;50words;1.0;[-0.038255, 0.97972, 0.84133, 0.70163, 0.29639, 0.37582, 0.42825, 0.15633, 0.44917];28,068022;248;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;4;10;50words;1.0;[-0.068617, 1.1168, 0.019398, 0.1994, 0.29639, 0.42341, 0.28756, 0.15633, 0.44917];28,538208;241;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;4;10;50words;1.0;[-0.038255, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341, 0.42825, 0.45166, 0.44917];28,068022;243;244;28,22475067;0,013384465;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;4;10;50words;1.0;[-0.068617, 1.1168, 0.019398, 0.10223, 0.70163, 0.29639, 0.42341, 0.42825, 0.15633, 0.030907];27,851967;2449;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.84133, 0.1994, 0.29639, 0.42341, 0.42825, 0.15633, 0.030907];27,851967;2438;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;4;10;50words;1.0;[1.2539, -0.038255, 0.019398, 0.10223, 0.70163, 0.29639, 0.37582, 0.28756, 0.15633, 0.44917];27,851967;2429;2438,666667;27,851967;0;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;4;10;50words;1.0;[-0.068617, 1.5418, 0.70163, 0.5619, 0.42341, 0.42825, 0.45166, 0.44917];30,096095;16;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;4;10;50words;1.0;[0.97972, 0.70163, 0.29639, 0.42341, 0.28756, 0.15633, 0.030907];29,63406;16;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;4;10;50words;1.0;[1.2539, 0.97972, 0.10223, 0.5619, 0.37582, 0.42825, 0.15633, 0.030907];29,21534;16;16;29,64849833;0,064502853;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;4;10;50words;1.0;[1.2539, 1.1168, 0.97972, 0.84133, 0.5619, 0.42825, 0.45166, 0.030907];29,576663;165;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;4;10;50words;1.0;[-0.068617, 0.019398, 0.10223, 0.5619, 0.37582, 0.28756, 0.45166, 0.44917];28,914494;169;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;4;10;50words;1.0;[1.1168, 0.97972, 0.84133, 0.70163, 0.37582, 0.42825, 0.45166, 0.44917];28,89637;165;166,3333333;29,12917567;0,045857036;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;4;10;50words;1.0;[1.1168, 0.97972, 0.10223, 0.1994, 0.29639, 0.37582, 0.28756, 0.45166, 0.030907];28,068022;1745;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;4;10;50words;1.0;[1.1168, 0.019398, 0.10223, 0.1994, 0.29639, 0.42341, 0.28756, 0.45166, 0.030907];28,068022;1764;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;4;10;50words;1.0;[-0.038255, 0.97972, 0.10223, 0.70163, 0.29639, 0.37582, 0.42825, 0.15633, 0.44917];28,068022;1755;1754,666667;28,068022;0,007757262;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;4;10;50words;1.0;[0.10223, 0.1994, 0.29639, 0.42341, 0.28756, 0.44917];30,94711;13;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;4;10;50words;1.0;[-0.038255, 0.29639, 0.42341, 0.28756, 0.15633, 0.030907];30,971883;12;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;4;10;50words;1.0;[-0.068617, 0.019398, 0.10223, 0.29639, 0.42341, 0.15633, 0.030907];30,098444;13;12,66666667;30,672479;0,101267964;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;4;10;50words;1.0;[1.1168, 0.019398, 0.10223, 0.1994, 0.42341, 0.42825, 0.15633];30,422982;134;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;4;10;50words;1.0;[0.97972, 0.10223, 0.1994, 0.29639, 0.28756, 0.45166, 0.44917];29,87863;132;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;4;10;50words;1.0;[1.2539, 0.019398, 0.10223, 0.29639, 0.37582, 0.42825, 0.15633, 0.030907];29,158312;132;132,6666667;29,81997467;0,070659558;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;4;10;50words;1.0;[1.1168, 0.97972, 0.70163, 0.5619, 0.42341, 0.42825, 0.15633, 0.44917];28,88392;1355;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;4;10;50words;1.0;[1.1168, 0.97972, 0.84133, 0.1994, 0.29639, 0.42341, 0.45166, 0.030907];29,374633;1351;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;4;10;50words;1.0;[1.2539, 0.019398, 0.10223, 0.70163, 0.5619, 0.37582, 0.42825, 0.030907];29,531045;1324;1343,333333;29,26319933;0,050669037;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;4;10;50words;1.0;[-0.038255, 0.1994, 0.29639, 0.37582, 0.15633, 0.44917];30,992415;10;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;4;10;50words;1.0;[1.2539, 0.97972, 0.1994, 0.42825, 0.45166, 0.44917];31,79909;10;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;4;10;50words;1.0;[1.2539, 1.1168, 0.019398, 0.1994, 0.37582, 0.42825, 0.45166];31,017446;10;10;31,26965033;0,122708868;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;4;10;50words;1.0;[1.2539, 0.019398, 0.29639, 0.37582, 0.28756, 0.15633, 0.030907];30,253612;116;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;4;10;50words;1.0;[0.97972, 0.84133, 0.70163, 0.5619, 0.42341, 0.9651, 0.44917];30,67339;111;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;4;10;50words;1.0;[-0.068617, -0.038255, 0.10223, 0.70163, 0.42341, 0.28756, 0.15633];30,591858;108;111,6666667;30,50628667;0,095300977;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;4;10;50words;1.0;[0.019398, 0.10223, 0.5619, 0.42341, 0.42825, 0.45166, 0.44917];29,68983;1087;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;4;10;50words;1.0;[1.2539, 0.70163, 0.29639, 0.42341, 0.28756, 0.15633, 0.44917];29,90824;1101;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;4;10;50words;1.0;[1.1168, 0.1994, 0.5619, 0.37582, 0.28756, 0.45166, 0.44917];29,77114;1094;1094;29,78973667;0,069573889;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;24;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;12;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;14;16,66666667;38,05666;0,366390388;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;138;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;99;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;96;111;38,05666;0,366390388;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;1018;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;1018;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;1043;1026,333333;38,05666;0,366390388;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.45166];38,05915;7;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;7;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;4;10;50words;1.0;[1.2539, 1.4141, 0.45166];38,55925;7;7;38,22502;0,372435204;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;78;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;81;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;77;78,66666667;38,05666;0,366390388;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;785;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;783;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;806;791,3333333;38,05666;0,366390388;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;4;10;50words;1.0;[1.2539, -0.82984, 0.030907];38,926354;6;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;6;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.030907];38,474923;6;6;38,485979;0,381804703;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;72;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;63;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;63;66;38,05666;0,366390388;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;710;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;677;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;683;690;38,05666;0,366390388;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;4;10;50words;1.0;[1.2539, -0.82896, 0.030907];38,923574;5;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.87969];38,48983;6;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;4;10;50words;1.0;[1.2539, 1.2867, 0.030907];38,474923;5;5,333333333;38,62944233;0,386955626;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;4;10;50words;1.0;[1.2539, 1.4141, 0.15633];38,8496;57;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;4;10;50words;1.0;[1.2539, -0.82896, 0.030907];38,923574;60;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;4;10;50words;1.0;[1.2539, 1.2867, 0.87969];38,48983;57;58;38,75433467;0,391439774;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;616;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;625;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;4;10;50words;1.0;[1.2539, 1.2867, 0.44917];38,05666;610;617;38,05666;0,366390388;
Generic MSM-Mean EA: generations:10000;4;10;50words;1.0;[0.019398, 0.10223, 0.019398, 0.45166, 0.1994, 0.5619, 0.37582, 0.37582, 0.45166, 0.28756];27,851967;30;;;;
Generic MSM-Mean EA: generations:10000;4;10;50words;1.0;[0.87969, 0.84133, 0.97972, 0.84133, 0.28756, 0.37582, 0.42341, 0.42825, 0.29639, 0.28756];27,851967;27;;;;
Generic MSM-Mean EA: generations:10000;4;10;50words;1.0;[0.84133, 0.42341, 0.97972, 0.1994, 0.28756, 0.44917, 0.37582, 0.37582, 0.29639, 0.1994];27,851967;29;28,66666667;27,851967;0;
Generic MSM-Mean EA: generations:100000;4;10;50words;1.0;[0.29639, 0.97972, 0.030907, 0.84133, 0.5619, 0.45166, 0.37582, 0.28756, 0.44917, 0.10223];27,851967;277;;;;
Generic MSM-Mean EA: generations:100000;4;10;50words;1.0;[0.019398, 0.1994, 0.28756, 0.5619, 0.42341, 0.44917, 0.37582, 0.42341, 0.42341, 0.10223];27,851967;276;;;;
Generic MSM-Mean EA: generations:100000;4;10;50words;1.0;[0.44917, 0.28756, 0.37582, 0.44917, 0.1994, 0.37582, 0.42341, 0.29639, 0.15633, 0.37582];27,851967;277;276,6666667;27,851967;0;
