heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;20;50words;1.0;[-0.1132, -0.010807, -0.1132, 0.39279, -0.19444, -0.19914, 0.60596, 0.77833, -0.21988, 0.13824, 0.081412, -0.24159, -0.088193, -0.088193, 1.5366, -0.23723, -0.27842, -0.23723, -0.3483, -0.41137];30,750515;7901;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;20;50words;1.0;[-0.1132, -0.19899, 0.71726, -0.19914, 0.39279, 0.094843, -0.21988, -0.21124, 0.19687, 0.13824, -0.22919, -0.22919, -0.14003, -0.088193, -0.28502, -0.32869, -0.32869, -0.27842, -0.43885, -0.3483];29,226308;10224;9506;-4616,666667;-32,69%;29,52149;17,36%;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;20;50words;1.0;[0.54345, 0.54345, -0.010807, 0.62818, 0.20317, 0.39279, 0.45414, 0.25892, -0.22919, 0.081412, -0.25397, 0.023502, -0.26735, -0.033603, -0.30541, -0.19027, -0.23723, -0.31464, -0.23723, -0.27842];28,956814;137;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;20;50words;1.0;[0.62818, 0.62818, -0.19444, 0.62818, -0.19914, 0.3249, 0.20317, 0.25892, 0.19687, 0.081412, 0.96079, 0.081412, -0.19027, -0.26735, -0.32869, -0.14003, -0.23723, -0.27842, -0.27842, -0.38403];29,82991;134;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;20;50words;1.0;[-0.1132, -0.19899, 0.54345, 0.81372, -0.19914, 0.39279, 0.60596, -0.19683, 0.13824, -0.22919, -0.21988, -0.21988, -0.19027, -0.088193, -0.30541, -0.088193, -0.35593, -0.23723, -0.41137, -0.27842];30,381182;114;128,3333333;-13994,33333;-99,09%;29,72263533;18,15%;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;20;50words;1.0;[0.81372, -0.19646, -0.21059, 0.62818, 0.3249, 0.46526, 0.25892, -0.19683, 0.081412, -0.21988, -0.25397, -0.22919, -0.033603, -0.088193, 1.432, -0.28502, -0.35593, -0.23723, -0.41137, -0.31464];31,157962;1071;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;20;50words;1.0;[0.71726, -0.1988, -0.010807, -0.19444, 0.45414, -0.19683, 0.3249, 0.25892, -0.22919, 0.13824, -0.22919, 0.081412, -0.26735, -0.30541, -0.033603, -0.30541, -0.41137, -0.35593, -0.27842, -0.27842];29,211326;1312;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;20;50words;1.0;[0.81372, 0.094843, 0.71726, -0.1132, 0.45414, -0.19683, -0.21124, 0.3249, 0.19687, -0.24159, -0.22919, -0.25397, -0.033603, -0.033603, -0.26735, -0.32869, -0.35593, -0.27842, 1.2006, -0.43885];31,916447;992;1125;-12997,66667;-92,03%;30,76191167;22,29%;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;20;50words;1.0;[0.54345, 0.81372, -0.21059, -0.19646, 0.20317, -0.19683, 0.25892, 0.46526, 0.19687, 0.77833, 0.19687, -0.24159, -0.14003, -0.14003, 1.5114, -0.19027, -0.27842, -0.38403, -0.41137, -0.43885];31,454134;13750;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;20;50words;1.0;[-0.19899, -0.19444, -0.19646, -0.21059, -0.19683, 0.20317, 0.32162, 0.39279, 0.96079, 0.13824, 0.13824, -0.21988, -0.033603, -0.26735, -0.28502, -0.26735, -0.31464, -0.27842, -0.41137, -0.31464];28,453943;14639;;;;;;;;;;
