heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;5;30;50words;1.0;[0.2275, 0.12306, -0.70194, -0.84543, -0.83013, -0.56335, 0.62432, -0.81317, -0.66162, -0.65066, -0.51993, -0.49166, -0.5499, -0.041712, 0.78203, 0.75373, 0.7701, -0.49207, 0.79939, 1.0804, 0.89246, 0.50658, 1.0726, 0.89246, 0.29686, 0.33847, 1.0293, 1.6588, -0.12161, -0.30128];111,243491;254;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;5;30;50words;1.0;[-0.83971, 0.27374, 0.16784, -0.57772, -0.69488, -0.83603, -0.69138, -0.83603, -0.49166, -0.44761, -0.6697, -0.44761, 0.053328, 0.71967, 0.80102, -0.24633, 0.79939, 0.18476, 0.65889, 0.79939, 1.4852, 0.38204, 0.38204, 0.50658, 0.29686, 0.60983, 1.0293, -0.16563, 1.5038, -0.12161];109,705827;297;282;109,8035237;95,339392;15,1712%
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;5;30;50words;1.0;[-0.85318, -0.70194, 0.21838, -0.5788, -0.55415, -0.53771, -0.70193, -0.70193, -0.76505, -0.68639, -0.65066, -0.72024, -0.61693, 0.80102, 0.31834, -0.24633, -0.30327, 1.2245, 0.71633, 0.65889, 0.89246, 0.89246, 0.64453, 0.47118, 0.33847, 1.0293, 1.733, 1.2135, -0.037568, -0.037568];107,095492;2835;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;5;30;50words;1.0;[-0.851, 0.16784, -0.57772, -0.5788, -0.69138, -0.69913, -0.83603, 0.477, -0.76505, -0.66162, -0.72024, -0.49166, -0.24633, -0.24633, -0.58998, -0.61693, 0.79939, 0.99568, 1.2245, 0.87865, 1.0726, 1.0726, 0.65608, 0.39387, 1.6588, 0.21416, 0.60983, 1.8066, -0.41586, 1.5038];112,805361;2837;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;5;30;50words;1.0;[-0.0076166, -0.70194, 0.16784, -0.85318, -0.57134, 0.37743, -0.81317, -0.53771, -0.65066, -0.6697, -0.49166, -0.51993, -0.41674, 0.71967, 0.31834, 0.31834, 0.80783, 0.71633, 0.79939, 1.1037, 0.78214, 0.56086, 0.38204, 0.38204, 0.29686, 0.60983, 1.0293, 0.60983, 1.5038, -0.037568];105,075586;2879;2850,333333;108,3254797;95,339392;13,6209%
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;5;30;50words;1.0;[-0.84543, -0.85318, -0.70244, -0.83971, 0.37743, 0.32847, 0.32847, -0.53771, -0.66162, -0.67901, -0.79532, -0.49166, -0.5499, -0.58998, -0.14305, 0.80102, 1.0804, 0.71633, 0.65994, 1.2245, 1.2386, 0.56086, 0.18637, 0.18637, 0.21416, 0.13033, 1.0293, 1.2135, -0.30128, -0.30128];110,873792;28134;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;5;30;50words;1.0;[-0.5788, -0.58115, -0.84543, -0.85318, -0.57134, 0.40936, -0.53771, -0.53771, -0.49166, -0.51993, -0.65066, -0.49166, -0.24633, 0.78203, 0.71967, -0.041712, 0.99568, 0.80783, 0.18476, 0.7701, 1.2386, 0.65608, 0.64453, 1.0726, 0.1629, 0.29686, 0.04651, 0.29686, 1.3719, 1.8804];106,75731;28204;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;5;30;50words;1.0;[-0.58115, 0.2275, -0.84543, -0.57772, -0.56335, 0.40936, -0.57134, -0.69488, -0.79532, -0.76505, -0.67901, -0.67901, 0.78203, 0.053328, -0.24633, -0.041712, 1.0804, 0.65889, 1.0804, 2.1077, 0.18637, 0.47118, 1.3741, 1.3741, 0.33847, 1.0293, 0.60983, 0.1629, 1.9567, 1.8804];115,446002;25773;27370,33333;111,0257013;95,339392;16,4531%
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;5;30;50words;1.0;[-0.57693, 0.40936, -0.83603, 0.21838, -0.58115, -0.76505, -0.56335, -0.68639, -0.67901, 0.86003, 0.68027, 0.053328, -0.66162, -0.65066, 0.053328, 0.18476, -0.041712, 0.80783, 0.65889, 1.0804, 1.0726, 0.78214, 0.64453, 0.60983, 0.39387, 0.04651, -0.037568, 0.04651, 0.1629, 1.2135];108,981668;301;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;5;30;50words;1.0;[-0.85318, 0.27374, 0.40936, -0.0076166, 0.21838, 0.37743, -0.69488, 1.3088, -0.56335, -0.67901, 0.63198, -0.24633, -0.14305, 0.75373, 0.63198, 0.65889, 0.80783, -0.041712, 0.65994, -0.40999, 0.56086, 0.33847, 0.47118, 0.33847, 0.60983, 1.5038, -0.30128, 1.2135, 0.21416, -0.037568];120,718936;190;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;5;30;50words;1.0;[-0.83971, -0.073169, -0.5788, -0.57134, -0.57772, -0.69913, -0.69913, -0.76505, 0.86003, -0.81317, -0.5499, -0.24633, -0.24633, 0.71967, 0.71967, 0.99568, 0.79939, 1.2245, 0.99568, 1.3542, -0.16808, 0.64453, 1.5787, 0.50658, 0.50658, 0.13033, -0.0096985, -0.16563, 1.0293, 1.2135];111,356771;256;249;113,6857917;95,339392;19,2433%
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;5;30;50words;1.0;[-0.57772, -0.83603, 0.27374, -0.70269, -0.83971, 0.37743, -0.51993, -0.53771, -0.51993, 1.0938, -0.24633, -0.6377, -0.66162, -0.66162, 0.053328, 0.80102, 0.7701, 1.0804, 1.3542, 0.87865, 0.56086, 0.56086, 0.60983, 0.33847, 3.1131, 1.3719, -0.30128, 0.21416, 1.8066, 1.3719];118,816728;3192;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;5;30;50words;1.0;[0.32847, 0.12306, -0.70375, 0.27374, 0.12306, -0.76505, 0.52846, -0.82232, -0.56335, -0.67901, -0.28383, -0.41674, -0.61693, -0.28383, -0.65066, 0.65994, 1.5723, 0.31834, -0.30327, 0.79939, 0.60983, 1.2386, 0.33847, 0.50658, 0.47118, 0.1629, -0.41586, 0.21416, -0.12161, 0.13033];118,20501;1817;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;5;30;50words;1.0;[0.27374, 0.21838, 0.40936, 0.2275, -0.073169, 0.4262, -0.83013, -0.53771, -0.56335, -0.55415, 0.78203, -0.5499, -0.44761, -0.41674, -0.41674, 0.79939, 0.99568, 0.80102, 0.42319, 0.80783, 0.78214, 0.64453, 0.78214, 0.78214, 0.78214, 0.04651, 1.0293, 1.0293, 1.733, 1.9567];111,141872;2916;2641,666667;116,0545367;95,339392;21,7278%
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;5;30;50words;1.0;[-0.57134, -0.83603, 0.16784, -0.5788, -0.70375, -0.69138, -0.69488, -0.53771, -0.49166, -0.68639, -0.38291, -0.61693, -0.28383, -0.28383, 0.78203, 0.18476, 0.65994, 1.0804, 1.4873, 0.99568, 0.56086, 0.33847, 0.47118, 0.33847, 0.38204, 0.82483, 1.0293, -0.30128, -0.30128, 1.8066];105,802324;33510;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;5;30;50words;1.0;[-0.83971, -0.851, -0.70244, -0.57772, 0.21838, -0.69138, 0.37743, -0.82232, 0.52846, 0.477, -0.41674, 0.68027, -0.6377, -0.28383, -0.38291, 1.1037, 0.65994, 1.3542, 1.0804, 0.42319, 0.38204, 0.89246, 0.50658, 0.29686, 0.65608, 0.82483, -0.30128, -0.037568, 0.13033, 0.13033];114,750119;31755;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;5;30;50words;1.0;[-0.70193, -0.84543, -0.70193, -0.58115, -0.851, 0.4262, -0.49166, 0.477, 0.62432, -0.51993, -0.38291, -0.44761, -0.65066, 0.78203, -0.65066, 0.18476, 1.4873, 0.99568, 0.65889, -0.041712, 0.64453, 0.64453, 0.50658, 0.56086, 0.64453, 0.1629, 1.2135, 0.82483, 1.5038, 1.733];110,614538;26149;30471,33333;110,3889937;95,339392;15,7853%
Random Buckets MSM-Mean: bucketsize:2, rand:10000;5;30;50words;1.0;[-0.5788, -0.70269, -0.83971, -0.57134, -0.55415, 0.52846, -0.44761, -0.38291, -0.65172, -0.41674, 0.31834, 0.42319, 0.71633, 0.56086, 0.18637, 0.50658, 0.60983, 0.82483, -0.0096985, 1.2135, 1.9567];101,653069;189;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;5;30;50words;1.0;[-0.85318, -0.851, -0.57693, -0.83013, -0.69488, -0.53771, -0.67901, -0.38291, -0.5499, 0.053328, 0.80783, 0.65994, 1.0726, 0.78214, 0.65608, 0.33847, 1.6588, 1.0293, 1.2135, 1.3719, 1.9567];102,403105;189;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;5;30;50words;1.0;[-0.0076166, -0.57772, -0.57693, -0.69913, -0.69488, -0.53771, -0.49166, -0.6697, -0.5499, -0.61693, 0.31834, 0.80783, 0.42319, 1.1037, 0.89246, 0.56086, 0.47118, 0.60983, 1.6588, 1.733, 1.8066, 1.8804];101,489613;189;189;101,8485957;95,339392;6,8274%
Random Buckets MSM-Mean: bucketsize:2, rand:100000;5;30;50words;1.0;[-0.5788, -0.0076166, -0.70244, -0.57134, -0.69488, -0.68639, -0.67901, -0.38291, -0.65172, -0.14305, 0.78203, -0.041712, 0.18476, 0.42319, 0.65994, 0.71633, 0.56086, 0.65608, 0.33847, 1.6588, 0.13033, -0.30128];101,796307;1927;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;5;30;50words;1.0;[-0.70375, -0.70269, 0.088811, -0.83971, -0.69913, -0.69488, 0.477, -0.76505, -0.44761, -0.28383, -0.41674, 0.31834, 0.18476, 0.65994, 0.89246, 0.47118, 0.60983, 1.0293, 1.2135, 1.3719, -0.12161];100,623708;1909;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;5;30;50words;1.0;[-0.073169, -0.851, -0.70244, -0.70193, -0.56335, -0.69138, -0.68639, -0.67901, -0.72024, -0.28383, 0.78203, -0.55024, 0.65994, 0.64453, 0.47118, 0.39387, 0.33847, 0.82483, 1.0293, 1.2135, 1.5038];100,161285;1910;1915,333333;100,8604333;95,339392;5,7909%
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;5;30;50words;1.0;[-0.58115, -0.57772, -0.57693, -0.69913, -0.53771, -0.67901, -0.44761, -0.65066, 0.71967, -0.61693, 0.80102, 0.18476, 0.65994, 0.89246, 0.65608, 0.60983, 0.82483, 1.2135, 1.3719, 1.5038];99,509025;19128;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;5;30;50words;1.0;[-0.70375, -0.57772, -0.70193, -0.82232, -0.53771, -0.79532, -0.44761, -0.38291, -0.41674, 0.31834, 0.65889, 0.42319, 0.7701, 0.89246, 0.65608, 0.38204, 0.60983, 0.82483, 1.2135, 1.9567];99,731994;19209;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.83971, 0.37743, -0.53771, -0.51993, -0.44761, -0.28383, 0.78203, 0.31834, 0.80783, 0.42319, 0.87865, 0.78214, 0.39387, 0.82483, 1.0293, 1.3719, 1.5038];98,969405;19160;19165,66667;99,40347467;95,339392;4,2628%
Random Buckets MSM-Mean: bucketsize:3, rand:10000;5;30;50words;1.0;[-0.85318, -0.70269, -0.70244, -0.56335, 0.52846, -0.6697, -0.66162, -0.24633, 0.18476, 0.71633, 0.64453, 0.78214, 0.18637, 0.60983, 0.82483, 1.2135, 1.8804];107,270515;144;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;5;30;50words;1.0;[-0.5788, -0.57772, -0.83971, 0.40936, 0.4262, -0.76505, -0.5499, -0.24633, 0.31834, 0.79939, 0.7701, 0.78214, 0.39387, 0.60983, 0.82483, 1.0293, 1.2135, 1.5038];104,878045;144;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;5;30;50words;1.0;[-0.073169, -0.58115, -0.83971, -0.69913, -0.53771, 0.63198, -0.28383, -0.24633, 0.42319, 0.7701, 0.71633, 0.64453, 0.78214, 0.50658, 1.5787, 1.0293, 1.9567];105,852012;144;144;106,0001907;95,339392;11,1819%
Random Buckets MSM-Mean: bucketsize:3, rand:100000;5;30;50words;1.0;[-0.58115, -0.70194, -0.57693, 0.32847, -0.69913, -0.69488, -0.53771, -0.79532, -0.66162, -0.6377, -0.61693, 0.65889, 0.79939, 0.65994, 0.56086, 0.65608, 0.38204, 0.82483, 1.2135, 1.5038];102,058084;1466;;;;
